IDmaster,Species1,Accepted_name_TNRS2022,LA,LDMC,LMA,Lth,Nmass,SM,SSD,H,Biogeo_status,Ende_status,Lineage,Lineage_Source,Accepted_family_TNRS2022,Growth_form
17,Aichryson laxum,Aichryson laxum,864.9656667,56.05416473,45.08849484,0.686666667,24.89974667,0.0085,0.124290667,0.3,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
18,Aichryson pachycaulon,Aichryson pachycaulon,862.383,43.32383124,34.78732767,0.742,27.654595,NA,0.109623333,0.65,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
19,Aichryson parlatorei,Aichryson parlatorei,184.6206,36.33530023,25.99926552,0.5616,15.974738,NA,0.219964,0.1,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
20,Aichryson porphyrogennetos,Aichryson porphyrogennetos,NA,NA,NA,NA,NA,NA,NA,0.2,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
21,Aichryson punctatum,Aichryson punctatum,231.4236,42.95492859,40.33008446,0.989333333,10.90066,0.0774,0.178440667,0.6,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
22,Aichryson tortuosum,Aichryson tortuosum,NA,NA,NA,NA,NA,NA,NA,0.15,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
23,Aizoon canariense,Aizoon canariense,280.9858621,105.4766372,63.4670129,0.722333333,34.44972,11.96,0.262729333,0.01,NNE,NNE,,,Aizoaceae,herb
24,Allagopappus canariensis,Allagopappus canariensis,186.18225,273.5521488,48.33973163,0.32,11.69626,0.6464,0.639240333,1.2,CE,Cla,Allagopappus,"Andrus, N., Trusty, J., SantosñGuerra, A., Jansen, R. K., & FranciscoñOrtega, J. (2004). Using molecular phylogenies to test phytogeographical links between East/South AfricañSouthern Arabia and the Macaronesian islandsóa review, and the case of Vierea and Pulicaria section Vieraeopsis (Asteraceae).†Taxon,†53(2), 333-346.",Asteraceae,shrub
25,Ammodaucus nanocarpus,Ammodaucus,NA,NA,NA,NA,NA,6.002857143,NA,0.2,NNE,NNE,,,Apiaceae,herb
26,Anagyris latifolia,Anagyris latifolia,NA,NA,NA,NA,NA,215.865,NA,3,CE,non_Cla,,,Fabaceae,shrub
27,Andryala pinnatifida,Andryala pinnatifida,796.2245,113.7551174,19.46687147,0.1355,22.977655,0.127,0.292027667,1,CE,Cla,Andryala,"Ferreira, Maria Zita, et al. ""Tracing the evolutionary history of the little_known Mediterranean_Macaronesian genus Andryala (Asteraceae) by multigene sequencing."" Taxon 64.3 (2015): 535-551.",Asteraceae,herb
28,Anisantha rubens,Bromus rubens,51.10333333,432.3232323,39.13639032,0.0766,5.93687,NA,0.694834333,0.6,NNE,NNE,,,Poaceae,herb
29,Apollonias barbujana,Persea barbujana,3026.983077,449.1306444,142.8784334,0.235,11.96153,504.94,0.725459,25,MAC,non_Cla,,,Lauraceae,tree
30,Arbutus canariensis,Arbutus canariensis,6267.486875,419.5563561,149.8208163,0.2655,14.63882,3.31,0.594729,10,CE,non_Cla,,,Ericaceae,tree
31,Argyranthemum adauctum,Argyranthemum adauctum,1464.560667,124.205006,31.18113691,0.289333333,31.96253,5.336,0.413522,1.2,CE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,shrub
32,Argyranthemum broussonetii,Argyranthemum broussonetii,2001.155667,149.8985092,74.01972893,0.225333333,27.567755,1.93,0.58885325,1.5,CE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,shrub
33,Argyranthemum coronopifolium,Argyranthemum coronopifolium,1246.325,100.8680729,43.59483548,0.3745,20.72538667,10.466,0.554402667,1.2,CE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,herb
34,Argyranthemum foeniculaceum,Argyranthemum foeniculaceum,228.548,159.5528106,86.05048684,0.876666667,15.56611667,2.39,0.44058,1,TE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,herb
35,Argyranthemum frutescens,Argyranthemum frutescens,NA,NA,NA,NA,NA,3.222,0.28276,0.6,CE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,shrub
36,Argyranthemum gracile,Argyranthemum gracile,180.237,231.3835436,50.55010902,0.567666667,19.64173,3.494,0.508309,1.2,TE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,shrub
37,Argyranthemum lemsii,Argyranthemum lemsii,600.1253333,171.2875824,57.76571116,0.24,21.20759,5.222,0.622538333,0.5,TE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,shrub
38,Argyranthemum sundingii,Argyranthemum sundingii,187.5866667,323.5294118,97.73082664,0.29,17.14525,0.6,0.504775,0.9,TE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,shrub
39,Argyranthemum tenerifae,Argyranthemum tenerifae,298.9966667,183.942656,89.55841202,0.498,20.95407,2.99,0.478274667,0.5,TE,Cla,Argyranthemum,"Francisco-Ortega, Javier, Robert K. Jansen, and Arnoldo Santos-Guerra. ""Chloroplast DNA evidence of colonization, adaptive radiation, and hybridization in the evolution of the Macaronesian flora."" Proceedings of the National Academy of Sciences 93.9 (1996): 4085-4090.; White, Oliver W., et al. ""Geographical isolation, habitat shifts and hybridisation in the diversification of the Macaronesian endemic genus Argyranthemum (Asteraceae)."" New Phytologist 228.6 (2020): 1953-1971.",Asteraceae,shrub
40,Arisarum simorrhinum,Arisarum simorrhinum,6592.897,87.55211435,22.29672328,0.302,36.66539,NA,0.161776,0.4,NNE,NNE,,,Araceae,herb
41,Aristida adscensionis,Aristida adscensionis,114.181,460.1151572,115.3139898,0.28,18.895835,1.048,0.563235,0.8,NNE,NNE,,,Poaceae,herb
42,Arrhenatherum calderae,Arrhenatherum calderae,371.5951613,365.4346129,59.65273226,0.143333333,27.26521667,3.802,0.28687,1,CE,non_Cla,,,Poaceae,herb
43,Artemisia ramosa,Artemisia ramosa,80.45233333,275.8510102,48.47590913,0.387666667,28.04136,NA,0.717545,0.8,CE,non_Cla,,,Asteraceae,shrub
44,Artemisia reptans,Artemisia reptans,65.715,237.713554,33.98513784,0.329666667,31.68480333,NA,0.66792,0.3,NNE,NNE,,,Asteraceae,shrub
45,Artemisia thuscula,Artemisia thuscula,794.9621053,309.3197499,73.79806695,0.159,19.85243333,0.07,0.563794,1,CE,non_Cla,,,Asteraceae,shrub
46,Arthrocnemum macrostachyum,Arthrocaulon macrostachyum,NA,NA,NA,NA,NA,0.195,NA,1.5,NNE,NNE,,,Amaranthaceae,shrub
47,Asparagus arborescens,Asparagus arborescens,93.944,320.2973497,211.4735019,0.674333333,16.3145275,17.68285714,0.688318,2,CE,non_Cla,,,Asparagaceae,shrub
48,Asparagus fallax,Asparagus fallax,12.863,323.5294118,85.51659799,0.459,13.33008,52.42941176,0.445435,2,CE,non_Cla,,,Asparagaceae,shrub
49,Asparagus pastorianus,Asparagus pastorianus,39.60925,223.8530887,65.64123279,0.526,15.592075,21.02571429,0.457523667,1,NNE,NNE,,,Asparagaceae,herb
50,Asparagus plocamoides,Asparagus plocamoides,21.38428571,445.505033,115.3495001,0.33,22.68532333,22.32,0.519683333,4,CE,non_Cla,,,Asparagaceae,shrub
51,Asparagus scoparius,Asparagus scoparius,3.907333333,366.6666667,58.86367514,0.186,24.479535,25.89428571,0.4526295,3,MAC,non_Cla,,,Asparagaceae,shrub
52,Asparagus umbellatus,Asparagus umbellatus,17.23566667,306.3879453,116.0384474,0.508,18.46627,26.76857143,0.618475333,5,CE,non_Cla,,,Asparagaceae,shrub
53,Astragalus hamosus,Astragalus hamosus,NA,NA,NA,NA,NA,1.806,NA,0.6,NNE,NNE,,,Fabaceae,herb
54,Astydamia latifolia,Astydamia latifolia,31640.367,66.72959454,90.42246571,0.9105,14.70160667,3.864,0.063726667,0.4,NNE,NNE,,,Apiaceae,herb
55,Atalanthus arboreus,Sonchus arboreus,1318.623,200,54.60241479,0.282,20.15962,NA,0.6647695,2,CE,Cla,Sonchus,"Lee, Chunghee, et al. ""Chloroplast DNA phylogeny of the woody Sonchus alliance (Asteraceae: Sonchinae) in the Macaronesian Islands."" American Journal of Botany 92.12 (2005): 2072-2085.",Asteraceae,shrub
56,Atalanthus capillaris,Sonchus capillaris,970.8442105,201.9414142,100.5997313,0.541666667,15.06903,NA,0.546712333,1.5,CE,Cla,Sonchus,"Lee, Chunghee, et al. ""Chloroplast DNA phylogeny of the woody Sonchus alliance (Asteraceae: Sonchinae) in the Macaronesian Islands."" American Journal of Botany 92.12 (2005): 2072-2085.",Asteraceae,shrub
57,Atalanthus microcarpus,Sonchus microcarpus,765.59,220.2680325,65.30910801,0.379,24.10278667,NA,0.52486,1,TE,Cla,Sonchus,"Lee, Chunghee, et al. ""Chloroplast DNA phylogeny of the woody Sonchus alliance (Asteraceae: Sonchinae) in the Macaronesian Islands."" American Journal of Botany 92.12 (2005): 2072-2085.",Asteraceae,shrub
58,Atalanthus pinnatus,Sonchus leptocephalus,1041.869355,180.0730329,62.06792278,0.255,17.61543,NA,0.376910333,1.6,CE,Cla,Sonchus,"Lee, Chunghee, et al. ""Chloroplast DNA phylogeny of the woody Sonchus alliance (Asteraceae: Sonchinae) in the Macaronesian Islands."" American Journal of Botany 92.12 (2005): 2072-2085.",Asteraceae,shrub
59,Atalanthus regis-jubae,Sonchus regis-jubae,NA,NA,NA,NA,NA,NA,NA,0.8,CE,Cla,Sonchus,"Lee, Chunghee, et al. ""Chloroplast DNA phylogeny of the woody Sonchus alliance (Asteraceae: Sonchinae) in the Macaronesian Islands."" American Journal of Botany 92.12 (2005): 2072-2085.",Asteraceae,shrub
60,Atractylis preauxiana,Atractylis preauxiana,NA,NA,NA,NA,NA,NA,NA,0.3,CE,non_Cla,,,Asteraceae,shrub
61,Avena canariensis,Avena canariensis,NA,NA,NA,NA,NA,16.565,NA,0.75,CE,non_Cla,,,Poaceae,herb
62,Avena fatua,Avena fatua,1825.830833,292.6757609,21.54270407,0.114333333,13.59016,16.99,0.20909,1.5,NNE,NNE,,,Poaceae,herb
63,Bencomia caudata,Bencomia caudata,14119.76643,369.1451751,81.65857458,0.1965,18.6155425,5.232,0.56020975,6,MAC,Cla,Bencomia,"Helfgott, D. Megan, et al. ""Biogeography and breeding system evolution of the woody Bencomia alliance (Rosaceae) in Macaronesia based on ITS sequence data."" Systematic Botany 25.1 (2000): 82-97.",Rosaceae,shrub
64,Bencomia exstipulata,Bencomia exstipulata,2392.407333,400.7404061,173.4654439,0.337333333,19.02322667,12.588,0.527407,1,CE,Cla,Bencomia,"Helfgott, D. Megan, et al. ""Biogeography and breeding system evolution of the woody Bencomia alliance (Rosaceae) in Macaronesia based on ITS sequence data."" Systematic Botany 25.1 (2000): 82-97.",Rosaceae,shrub
65,Bosea yervamora,Bosea yervamora,2769.466333,261.2310296,79.43768709,0.225666667,24.96875667,16.634,0.494523,3,CE,non_Cla,,,Amaranthaceae,shrub
66,Brachypodium arbuscula,Brachypodium arbuscula,202.222,361.2120524,49.45060379,0.069,17.69435333,3.322,0.453093667,0.4,CE,non_Cla,,,Poaceae,herb
67,Brassica bourgeaui,Brassica bourgeaui,NA,NA,NA,NA,NA,5.116,NA,0.5,NNE,NNE,,,Brassicaceae,herb
68,Bryonia verrucosa,Bryonia verrucosa,10072.323,129.281768,34.84796903,0.577,35.18841,18.47714286,0.190831,2,CE,non_Cla,,,Cucurbitaceae,herb
69,Bufonia paniculata,Bufonia paniculata,7.566666667,833.3333333,88.10572687,0.111333333,23.37359,NA,0.441177,0.25,NNE,NNE,,,Caryophyllaceae,herb
70,Bupleurum salicifolium,Bupleurum salicifolium,771.298,408.0640175,140.8880441,0.318333333,21.88991333,2.292,0.662578333,2,MAC,Cla,Bupleurum,"Neves, Susana S., and Mark F. Watson. ""Phylogenetic relationships in Bupleurum (Apiaceae) based on nuclear ribosomal DNA ITS sequence data."" Annals of Botany 93.4 (2004): 379-398.",Apiaceae,shrub
71,Bupleurum semicompositum,Bupleurum semicompositum,NA,NA,NA,NA,NA,0.177,NA,0.35,NNE,NNE,,,Apiaceae,herb
72,Bystropogon canariensis,Bystropogon canariensis,2113.145,406.6480672,86.52190613,0.388,13.00852,0.131,0.437885,2,CE,Cla,Bystropogon,"Trusty, Jennifer L., et al. ""Using molecular data to test a biogeographic connection of the Macaronesian genus Bystropogon (Lamiaceae) to the New World: a case of conflicting phylogenies."" Systematic Botany 29.3 (2004): 702-715.",Lamiaceae,shrub
73,Bystropogon odoratissimus,Bystropogon odoratissimus,NA,NA,NA,NA,NA,NA,0.405893,3,TE,Cla,Bystropogon,"Trusty, Jennifer L., et al. ""Using molecular data to test a biogeographic connection of the Macaronesian genus Bystropogon (Lamiaceae) to the New World: a case of conflicting phylogenies."" Systematic Botany 29.3 (2004): 702-715.",Lamiaceae,shrub
74,Bystropogon origanifolius,Bystropogon origanifolius,228.3363333,283.6447467,96.34909906,0.244666667,20.42272,0.215,0.518051333,1.7,CE,Cla,Bystropogon,"Trusty, Jennifer L., et al. ""Using molecular data to test a biogeographic connection of the Macaronesian genus Bystropogon (Lamiaceae) to the New World: a case of conflicting phylogenies."" Systematic Botany 29.3 (2004): 702-715.",Lamiaceae,shrub
75,Bystropogon plumosus,Bystropogon plumosus,297.5988571,386.2562587,94.08638282,0.265,18.34980667,NA,0.552686667,1.5,TE,Cla,Bystropogon,"Trusty, Jennifer L., et al. ""Using molecular data to test a biogeographic connection of the Macaronesian genus Bystropogon (Lamiaceae) to the New World: a case of conflicting phylogenies."" Systematic Botany 29.3 (2004): 702-715.",Lamiaceae,shrub
76,Campanula dichotoma,Campanula dichotoma,NA,NA,NA,NA,NA,NA,0.388197,0.35,NNE,NNE,,,Campanulaceae,herb
77,Campylanthus salsoloides,Campylanthus salsoloides,115.979,202.1473426,208.0836473,1.751666667,10.58204,0.106,0.642814667,2,CE,non_Cla,,,Plantaginaceae,shrub
78,Canarina canariensis,Canarina canariensis,3105.111667,139.2861333,25.54926903,0.168333333,32.70938333,4.29,0.072435333,3,CE,non_Cla,,,Campanulaceae,herb
79,Carduus clavulatus,Carduus clavulatus,24070.61133,150.1200975,65.3263148,0.216666667,23.38108667,NA,0.257434,0.8,CE,non_Cla,,,Asteraceae,herb
80,Carduus volutarioides,Carduus volutarioides,200.813,304.0416412,71.37652111,0.064,14.12251333,NA,0.307711333,0.7,TE,non_Cla,,,Asteraceae,herb
81,Carex canariensis,Carex canariensis,1775.329375,249.6451212,39.80482026,0.183,19.72583,1.4876,0.230590667,1.6,CE,Cla,Carex,"Molina, A., K. S. Chung, and A. L. Hipp. ""Molecular and morphological perspectives on the circumscription of Carex section Heleoglochin (Cyperaceae)."" Plant Systematics and Evolution 301.10 (2015): 2419-2439.",Cyperaceae,herb
82,Carex paniculata,Carex paniculata,1817.13625,289.9751895,95.20474868,0.254,16.73057333,0.442,0.197999,1.6,TE,non_Cla,,,Cyperaceae,herb
83,Carex perraudieriana,Carex perraudieriana,6149.512,209.6226909,40.59942751,0.177333333,25.01937667,3.34137931,0.122923667,1.4,CE,non_Cla,,,Cyperaceae,herb
84,Carlina salicifolia,Carlina salicifolia,1347.169474,342.1845059,111.3445657,0.2715,13.15908333,0.62,0.543154333,2,MAC,Cla,Carlina,"Wahrmund, Ute, et al. ""A molecular phylogeny reveals frequent changes of growth form in Carlina (Asteraceae)."" Taxon 59.2 (2010): 367-378.",Asteraceae,herb
85,Carlina xeranthemoides,Carlina xeranthemoides,388.524,280.27099,77.64428109,0.202666667,18.10897333,1.7,0.440099,0.6,TE,Cla,Carlina,"Wahrmund, Ute, et al. ""A molecular phylogeny reveals frequent changes of growth form in Carlina (Asteraceae)."" Taxon 59.2 (2010): 367-378.",Asteraceae,shrub
86,Ceballosia fruticosa,Heliotropium messerschmidioides,2225.914,248.2426272,21.18979739,0.25,20.38321333,8.712,0.64101,3,CE,non_Cla,,,Heliotropiaceae,shrub
87,Cedronella canariensis,Cedronella canariensis,6204.527333,152.9195599,22.29554741,0.133,39.06620333,1.416,0.180014,2,MAC,non_Cla,,,Lamiaceae,herb
88,Cerastium sventenii,Cerastium sventenii,NA,NA,NA,NA,NA,0.257,NA,0.5,CE,non_Cla,,,Caryophyllaceae,herb
89,Ceropegia dichotoma,Ceropegia dichotoma,1415.126,108.6538462,4.769893282,4.134333333,7.991096667,4.442857143,NA,1.5,CE,Cla,Ceropegia,"Bruyns, P. V., C. Klak, and P. Han‡_ek. ""Recent radiation of Brachystelma and Ceropegia (Apocynaceae) across the Old World against a background of climatic change."" Molecular Phylogenetics and Evolution 90 (2015): 49-66.",Apocynaceae,shrub
90,Ceropegia fusca,Ceropegia fusca,767.89,214.2857143,7.813619138,8.357666667,13.49097667,6.688571429,0.1311086,1,CE,Cla,Ceropegia,"Bruyns, P. V., C. Klak, and P. Han‡_ek. ""Recent radiation of Brachystelma and Ceropegia (Apocynaceae) across the Old World against a background of climatic change."" Molecular Phylogenetics and Evolution 90 (2015): 49-66.",Apocynaceae,herb
91,Chamaecytisus proliferus,Chamaecytisus prolifer,231.97625,435.4539432,91.06535691,0.235,27.63143667,20.80571429,0.6199275,5,CE,non_Cla,,,Fabaceae,shrub
92,Cheirolophus burchardii,Cheirolophus burchardii,2304.071667,194.1331757,57.43455607,0.209,21.07126667,4.494,0.49482,1.5,TE,Cla,Cheirolophus,"Susanna, Alfonso, Teresa Garnatje, and Nœria Garcia-Jacas. ""Molecular phylogeny ofCheirolophus (Asteraceae: Cardueae-Centaureinae) based on ITS sequences of nuclear ribosomal DNA."" Plant Systematics and Evolution 214.1 (1999): 147-160.",Asteraceae,herb
